rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_mort_B2;recy_noconvers_B2;VC_11;VC_21;VC_12;VC_22;R_11;R_21;R_12;R_22;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_mortB2;fluxEq_prelB2;J11;J12;J21;J22;J_inverse11;J_inverse12;J_inverse21;J_inverse22;supp
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.09999999999999999;0.19999999999999998;0.1;0.9;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999907148;9.500000001772577;0.855000000159532;0.855000000159532;0.0;0.855000000159532;0.855000000159532;0.0;1.636125654085654e-07;3.0383532633106915e-17;3.0383540402155364e-17;0.0003108638743339738;1.0;4.260345419406629e-12;4.26034650877403e-12;1.0;-0.00995283030530998;0.09999999999999999;0.004999999999907148;0.9500000001596158;0.855000000159532;0.9500000001772577;0.9500000001596158;-19.100000003545155;-0.009999999998142953;19.000000003545154;-1.8570422977148837e-12;-9.773904894771782e-12;0.052631578927722696;-99.99999999990231;-100.52631578927728;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.105;0.21;0.1;0.89;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.05000000000308468;9.090909085785489;0.8090909086349086;0.8090909086349086;0.0;0.8090909086349086;0.8090909086349086;0.0;1.7093485839642312e-07;-9.586893202401654e-17;-9.586892215013604e-17;0.0002825369558687805;1.0;-1.3795102772356973e-11;-1.379510135155053e-11;1.0;-0.010946385165679072;0.105;0.005000000000308469;0.909090908634634;0.8090909086349086;0.9090909085785489;0.909090908634634;-18.28181817157098;-0.011000000006169353;18.181818171570978;6.169356692176109e-12;3.08467856393632e-11;0.05500000006201424;-90.90909090937137;-91.40909090965472;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.11;0.22;0.1;0.88;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.049999999984024886;8.750000023414303;0.7700000020604588;0.7700000020604588;0.0;0.7700000020604588;0.7700000020604588;0.0;1.775568175956079e-07;4.727484677099478e-16;4.727484700041685e-16;0.00025893702634921696;1.0;6.97211232972263e-11;6.972112363557884e-11;1.0;-0.011939918275798848;0.11;0.004999999998402489;0.8750000020618658;0.7700000020604588;0.8750000023414304;0.8750000020618658;-17.600000046828608;-0.011999999968049763;17.500000046828607;-3.195023412505549e-11;-1.521439787673251e-10;0.05714285683693403;-83.33333333206548;-83.80952380697447;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.115;0.23;0.1;0.87;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999846942;8.461538463541189;0.7361538463280834;0.7361538463280834;0.0;0.7361538463280834;0.7361538463280834;0.0;1.8357433342949218e-07;4.322700136019608e-17;4.322700813630893e-17;0.0002389725051123726;1.0;6.526422145969824e-12;6.5264231690288285e-12;1.0;-0.012933459407347804;0.115;0.004999999999846943;0.8461538463282168;0.7361538463280834;0.8461538463541189;0.8461538463282168;-17.02307692708238;-0.012999999996938835;16.923076927082377;-3.061162434647713e-12;-1.3914378800858456e-11;0.05909090906292651;-76.9230769229699;-77.37762237740715;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.12000000000000001;0.24000000000000002;0.1;0.86;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999986348;8.214285714446763;0.7064285714424217;0.7064285714424217;0.0;0.7064285714424217;0.7064285714424217;0.0;1.89066551421382e-07;3.687399207052198e-18;3.6874036744223315e-18;0.0002218638103457412;1.0;5.693372153727196e-13;5.693379051380336e-13;1.0;-0.013927033152699945;0.12000000000000001;0.004999999999986349;0.8214285714424335;0.7064285714424217;0.8214285714446764;0.8214285714424335;-16.528571428893528;-0.013999999999726953;16.428571428893527;-2.7304547511874944e-13;-1.1871502839402539e-12;0.060869565215003515;-71.42857142856296;-71.86335403725003;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.125;0.25;0.1;0.85;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999671433;8.000000003523347;0.6800000002994845;0.6800000002994845;0.0;0.6800000002994845;0.6800000002994845;0.0;1.9409937877144454e-07;8.503288050499226e-17;8.503286126242486e-17;0.00020703933744682456;1.0;1.3413693662304714e-11;1.3413690626844748e-11;1.0;-0.014920660005970926;0.125;0.004999999999671434;0.800000000299764;0.6800000002994845;0.8000000003523348;0.800000000299764;-16.100000007046695;-0.014999999993428659;16.000000007046694;-6.5713406938172625e-12;-2.738058520367003e-11;0.06249999994492213;-66.66666666648413;-67.08333333296615;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.12999999999999995;0.2599999999999999;0.1;0.8400000000000001;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.049999999999990705;7.812500000009133;0.6562500000007674;0.6562500000007674;0.0;0.6562500000007674;0.6562500000007674;0.0;1.9872813990430554e-07;2.309998113146428e-19;2.3097968581683537e-19;0.00019407044912552398;1.0;3.71965136171645e-14;3.7193272929005555e-14;1.0;-0.015914357186942864;0.12999999999999995;0.004999999999999071;0.781250000000768;0.6562500000007674;0.7812500000009134;0.781250000000768;-15.725000000018266;-0.01599999999998139;15.625000000018266;-1.8596235662471372e-14;-7.438506267390936e-14;0.06399999999985032;-62.49999999999959;-62.89999999999911;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.13499999999999995;0.2699999999999999;0.1;0.8300000000000001;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999999836;7.64705882353091;0.6347058823530657;0.6347058823530657;0.0;0.6347058823530657;0.6347058823530657;0.0;2.0299961788301937e-07;3.9289779570984913e-20;3.9307421629114446e-20;0.00018262941401244064;1.0;6.4527764438280254e-15;6.455673895999097e-15;1.0;-0.01690813927379802;0.13499999999999995;0.004999999999999836;0.7647058823530658;0.6347058823530657;0.764705882353091;0.7647058823530658;-15.394117647061819;-0.0169999999999967;15.29411764706182;-3.2890357104520263e-15;-1.2650942578574889e-14;0.06538461538458984;-58.823529411764675;-59.208144796379976;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.13999999999999996;0.2799999999999999;0.1;0.8200000000000001;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.05000000000007865;7.499999999934097;0.6149999999945961;0.6149999999945961;0.0;0.6149999999945961;0.6149999999945961;0.0;2.0695364238656563e-07;-1.80844266603457e-18;-1.808454608259891e-18;0.00017246136865396613;1.0;-3.0270688102314773e-13;-3.0270887997719107e-13;1.0;-0.01790201869359469;0.13999999999999996;0.005000000000007865;0.7499999999945894;0.6149999999945961;0.7499999999934097;0.7499999999945894;-15.099999999868194;-0.01800000000015728;14.999999999868194;1.5729084701376905e-13;5.825554935071596e-13;0.06666666666783891;-55.555555555558826;-55.92592592593247;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.14499999999999996;0.2899999999999999;0.1;0.81;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999990863;7.368421052702846;0.5968421052689307;0.5968421052689307;0.0;0.5968421052689307;0.5968421052689307;0.0;2.1062433486772574e-07;2.0257898118716512e-18;2.0258051411115114e-18;0.00016336513507902986;1.0;3.4535076404693213e-13;3.4535337733122596e-13;1.0;-0.018896006108160744;0.14499999999999996;0.004999999999990863;0.7368421052689381;0.5968421052689307;0.7368421052702847;0.7368421052689381;-14.836842105405692;-0.018999999999817246;14.736842105405692;-1.8274270985330077e-13;-6.526550849893222e-13;0.06785714285582946;-52.631578947365014;-52.988721804504394;
